,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,1,2,3,4,5,6,7,8,9,Ans
0,0,0,0,0,0,0,0,1,-1,1,0,-1,3
1,1,1,1,1,-1,0,0,-1,1,0,0,0,8
2,2,2,2,0,-1,1,0,-1,1,0,0,0,9
3,3,3,3,1,0,0,1,-1,1,-1,-1,0,3
4,4,4,4,0,-1,1,1,-1,0,0,0,0,8
5,5,5,5,0,0,-1,0,0,0,0,0,1,1
6,6,6,6,-1,1,-1,1,0,-1,-1,1,1,5
7,7,7,7,0,-1,1,1,-1,0,0,1,-1,1
8,8,8,8,1,-1,0,0,0,0,0,1,-1,5
9,9,9,9,0,0,0,-1,1,0,0,-1,1,1
10,10,10,10,0,0,-1,-1,0,0,1,1,0,9
11,11,11,11,0,-1,1,1,0,0,0,0,-1,5
12,12,12,12,0,1,-1,0,1,0,-1,0,0,8
13,13,13,13,-1,0,1,0,1,1,-1,-1,0,4
14,14,14,14,0,0,1,0,-1,0,-1,0,1,6
15,15,15,15,1,1,-1,0,0,0,0,0,-1,6
16,16,16,16,-1,0,0,1,1,0,-1,0,0,6
17,17,17,17,1,-1,1,1,-1,0,-1,0,0,8
18,18,18,18,0,0,1,-1,0,0,0,0,0,9
19,19,19,19,0,0,0,0,-1,0,-1,1,1,3
20,20,20,20,-1,-1,1,1,-1,1,-1,1,0,9
21,21,21,21,-1,0,0,1,0,0,1,0,-1,5
22,22,22,22,1,-1,0,1,1,0,-1,0,-1,6
23,23,23,23,0,0,0,1,0,0,-1,0,0,5
24,24,24,24,1,0,-1,0,0,0,0,0,0,5
25,25,25,25,0,1,0,0,0,0,0,-1,0,3
26,26,26,26,0,0,0,1,0,0,-1,0,0,5
27,27,27,27,0,0,0,0,-1,1,0,0,0,3
28,28,28,28,1,1,-1,0,-1,-1,0,1,0,9
29,29,29,29,0,0,0,0,0,1,0,0,-1,5
30,30,30,30,0,-1,0,0,1,0,0,0,0,9
31,31,31,31,0,-1,1,0,-1,0,0,1,0,9
32,32,32,32,1,-1,0,0,-1,-1,1,1,0,4
33,33,33,33,1,-1,1,0,1,0,-1,-1,0,9
34,34,34,34,-1,0,1,0,0,1,0,-1,0,9
35,35,35,35,0,-1,-1,0,0,0,1,1,0,9
36,36,36,36,-1,-1,0,0,0,1,-1,1,1,3
37,37,37,37,0,0,0,-1,0,1,-1,1,0,5
38,38,38,38,0,1,0,1,0,-1,1,-1,-1,1
39,39,39,39,1,0,0,0,0,-1,-1,1,0,5
40,40,40,40,0,0,0,1,-1,1,-1,1,-1,1
41,41,41,41,1,0,1,-1,-1,0,0,0,0,2
42,42,42,42,0,0,-1,0,0,0,0,1,0,5
43,43,43,43,1,0,0,0,1,-1,0,0,-1,3
44,44,44,44,0,0,1,0,-1,0,0,0,0,7
45,45,45,45,0,0,1,1,0,-1,1,-1,-1,1
46,46,46,46,0,-1,0,0,1,1,-1,0,0,4
47,47,47,47,0,0,0,0,1,0,0,0,-1,1
48,48,48,48,-1,0,-1,1,1,-1,1,-1,1,2
49,49,49,49,0,1,-1,0,0,0,0,0,0,5
50,50,50,50,0,0,-1,0,1,0,0,0,0,9
51,51,51,51,0,0,0,1,1,-1,0,0,-1,3
52,52,52,52,1,0,0,0,0,-1,0,0,0,5
53,53,53,53,-1,1,0,1,-1,1,-1,-1,1,3
54,54,54,54,1,0,1,0,-1,-1,-1,0,1,4
55,55,55,55,-1,0,1,1,0,-1,0,-1,1,5
56,56,56,56,-1,-1,1,0,0,1,0,0,0,9
57,57,57,57,1,-1,1,-1,0,-1,1,-1,1,5
58,58,58,58,1,-1,0,1,0,0,-1,1,-1,5
59,59,59,59,0,0,0,1,0,-1,1,-1,0,1
60,60,60,60,0,1,1,-1,1,-1,0,0,-1,1
61,61,61,61,0,0,1,0,0,-1,0,0,0,7
62,62,62,62,0,1,-1,-1,0,-1,1,1,0,5
63,63,63,63,0,0,-1,-1,0,1,1,0,0,5
64,64,64,64,-1,0,1,0,1,0,-1,0,0,4
65,65,65,65,0,0,-1,0,0,0,0,1,0,5
66,66,66,66,0,0,0,1,0,0,-1,0,0,5
67,67,67,67,-1,0,0,1,-1,1,1,-1,0,9
68,68,68,68,1,0,-1,0,1,0,0,-1,0,9
69,69,69,69,1,0,0,0,0,-1,-1,1,0,5
70,70,70,70,0,0,1,1,-1,-1,-1,0,1,2
71,71,71,71,0,-1,0,0,0,1,0,1,-1,5
72,72,72,72,-1,0,0,1,0,-1,1,0,0,5
73,73,73,73,0,-1,0,0,1,0,0,0,0,9
74,74,74,74,1,0,-1,1,0,0,-1,0,0,5
75,75,75,75,1,-1,1,0,0,1,-1,-1,0,9
76,76,76,76,0,0,0,-1,-1,0,1,0,1,8
